,0,1
425,(주)신세계인터내셔날,NNG
426,(주)신세계푸드,NNG
427,(주)신영와코루,NNG
428,(주)신원,NNG
429,(주)신풍,NNG
430,(주)신화다이나믹스,NNG
431,(주)신흥,NNG
432,(주)쌍방울,NNG
433,(주)쎌마테라퓨틱스,NNG
434,(주)씨아이테크,NNG
435,(주)씨티알모빌리티,NNG
436,(주)세진중공업,NNG
437,(주)세이브존아이앤씨,NNG
438,(주)세우글로벌,NNG
439,(주)삼천리,NNG
440,(주)사조오양,NNG
441,(주)삼성출판사,NNG
442,(주)삼양사,NNG
443,(주)삼양홀딩스,NNG
444,(주)삼영,NNG
445,(주)삼원강재,NNG
446,(주)삼익악기,NNG
447,(주)삼일씨엔에스,NNG
448,(주)서연,NNG
449,(주)세아홀딩스,NNG
450,(주)서원,NNG
451,(주)서흥,NNG
452,(주)선앤엘,NNG
453,(주)선진,NNG
454,(주)성안,NNG
455,(주)세아베스틸지주,NNG
456,(주)세아제강지주,NNG
457,(주)세아특수강,NNG
458,(주)아모레퍼시픽,NNG
459,(주)아모레퍼시픽그룹,NNG
460,(주)아센디오,NNG
461,(주)엘지화학,NNG
462,(주)엘에프,NNG
463,(주)엘엑스세미콘,NNG
464,(주)엘엑스인터내셔널,NNG
465,(주)엘엑스하우시스,NNG
466,(주)엘지,NNG
467,(주)엘지생활건강,NNG
468,(주)엘지유플러스,NNG
469,(주)엘지헬로비전,NNG
470,(주)엠씨넥스,NNG
471,(주)엘에스,NNG
472,(주)영원무역,NNG
473,(주)영원무역홀딩스,NNG
474,(주)영풍,NNG
475,(주)영흥,NNG
476,(주)예스코홀딩스,NNG
477,(주)오뚜기,NNG
478,(주)오리온홀딩스,NNG
479,(주)와이지플러스,NNG
480,(주)엘에스네트웍스,NNG
481,(주)엔케이,NNG
482,(주)아이마켓코리아,NNG
483,(주)에스지글로벌,NNG
484,(주)아이에이치큐,NNG
485,(주)알루코,NNG
486,(주)에넥스,NNG
487,(주)에스비에스,NNG
488,(주)에스엠벡셀,NNG
489,(주)에스원,NNG
490,(주)에스제이엠,NNG
491,(주)에스제이엠홀딩스,NNG
492,(주)에스지세계물산,NNG
493,(주)엔아이스틸,NNG
494,(주)에스피씨삼립,NNG
495,AJ네트웍스(주),NNG
496,(주)에이엔피,NNG
497,(주)에이프로젠,NNG
498,(주)에이프로젠바이오로직스,NNG
499,(주)에이플러스에셋어드바이저,NNG
500,(주)에프앤에프홀딩스,NNG
501,(주)엔씨소프트,NNG
502,(주)사조대림,NNG
503,(주)비지에프,NNG
504,(주)용평리조트,NNG
505,(주)비와이씨,NNG
506,(주)나이스홀딩스,NNG
507,(주)남선알미늄,NNG
508,(주)남성,NNG
509,(주)넥센,NNG
510,(주)노루페인트,NNG
511,(주)노루홀딩스,NNG
512,(주)녹십자 ,NNG
513,(주)녹십자홀딩스,NNG
514,(주)농심,NNG
515,(주)농심홀딩스,NNG
516,(주)다우기술,NNG
517,(주)다이나믹디자인,NNG
518,(주)대교,NNG
519,(주)대구백화점,NNG
520,(주)대덕,NNG
521,(주)대동,NNG
522,(주)대양금속,NNG
523,(주)대우건설,NNG
524,(주)대웅,NNG
525,(주)까뮤이앤씨,NNG
526,(주)금호에이치티,NNG
